"Benediktas Vilmantas Rupeika","Q4887383"
"Birutė Nedzinskienė","Q4917144"
"Birutė Teodora Visokavičienė","Q12651032"
"Birutė Vėsaitė","Q541252"
"Boleslovas Liutikas","Q9176799"
"Bolesław Lutyk","Q9176799"
"Bronislavas Juozas Kuzmickas","Q4973999"
"Bronislovas Genzelis","Q4973920"
"Bronislovas Jagminas","Q12651403"
"Bronislovas Matelis","Q12651414"
"Bronius Bradauskas","Q927567"
"Bronius Kuzmickas","Q4973999"
"Bronius Markauskas","Q15268485"
"Bronius Pauža","Q9180013"
"Czesław Okińczyc","Q545453"
"Czesław Olszewski","Q16477652"
"Dailis Alfonsas Barakauskas","Q887795"
"Dailis Barakauskas","Q887795"
"Dainius Budrys","Q1157634"
"Dainius Gaižauskas","Q27855494"
"Dainius Kepenis","Q16446841"
"Dainius Kreivys","Q1157636"
"Daiva Tamošiūnaitė","Q12652169"
"Dalia Kuodyte","Q676437"
"Dalia Kuodytė","Q676437"
"Dalia Kutraitė-Giedraitienė","Q2673005"
"Dalia Teišerskytė","Q540722"
"Dalė Koudītė","Q676437"
"Dangutė Mikutienė","Q8288349"
"Danutė Aleksiūnienė","Q12652308"
"Danutė Bekintienė","Q9201781"
"Darius Kaminskas","Q12652448"
"Darius Petrošius","Q12652455"
"Darius Ulickas","Q12652459"
"Dobilas Jonas Kirvelis","Q1233257"
"Dobilas Kirvelis","Q1233257"
"Domas Petrulis","Q3182186"
"Domininkas Velička","Q1238081"
"Donalda Meiželytė","Q1240534"
"Donatas Jankauskas","Q82512"
"Donatas Morkūnas","Q5295403"
"Dovas Beras Menašė Abramavičius","Q9210397"
"Dovilė Šakalienė","Q27807718"
"Dow Ber Menasze Abramowicz","Q9210397"
"Edmundas Jonyla","Q3460966"
"Edmundas Pupinis","Q1287098"
"Eduardas Šablinskas","Q15138158"
"Edvard Tomaševič","Q9251249"
"Edvardas Kaniava","Q12653789"
"Edvardas Karečka","Q12653785"
"Edvardas Turauskas","Q16450242"
"Edvardas Žakaris","Q1291415"
"Edward Tomaszewicz","Q9251249"
"Egidijus Bičkauskas","Q3498691"
"Egidijus Klumbys","Q556218"
"Egidijus Skarbalius","Q5732307"
"Egidijus Vareikis","Q909575"
"Eimundas Savickas","Q15311890"
"Elena Petrošienė","Q5120501"
"Eligijus Masiulis","Q371858"
"Eliziejus Draugelis","Q3460975"
"Elvyra Janina Kunevičienė","Q1334341"
"Emanuelis Zingeris","Q3672343"
"Erikas Tamašauskas","Q1354561"
"Etela Karpickienė","Q1370985"
"Eugenijus Gentvilas","Q204847"
"Eugenijus Jovaisa","Q16450577"
"Eugenijus Jovaiša","Q16450577"
"Evaldas Jurkevičius","Q11255733"
"Evaldas Lementauskas","Q1379606"
"Everistas Raišuotis","Q1382080"
"Feliksas Palubinskas","Q12654522"
"Gabriel Jan Mincevič","Q11699195"
"Gabriel Jan Mincewicz","Q11699195"
"Gabrielius Landsbergis","Q17118365"
"Gediminas Dalinkevičius","Q15241404"
"Gediminas Ilgūnas","Q1668716"
"Gediminas Jakavonis","Q8266325"
"Gediminas Kirkilas","Q118937"
"Gediminas Navaitis","Q729161"
"Gediminas Paviržis","Q1379430"
"Gediminas Vagnorius","Q982980"
"Gediminas Vasiliauskas","Q28934501"
"Gedimins Kėrkėls","Q118937"
"Gedėmins Vagnuorios","Q982980"
"Gedėmėns Pavėržis","Q1379430"
"Gema Jurkūnaitė","Q15728246"
"George Waschkies","Q24579072"
"Giedrė Purvaneckienė","Q1523239"
"Gintaras Didžiokas","Q951919"
"Gintaras Ramonas","Q5563274"
"Gintaras Songaila","Q9268228"
"Gintaras Steponaviçius","Q1525171"
"Gintaras Steponavičius","Q1525171"
"Gintaras Tamosiunas","Q17126647"
