id,name,party,partyLabel
Q3610379,Vidas Mikalauskas,Q4362,LSDP
,Gintautas Mikolaitis,Q4362,LSDP
,Dangutė Mikutienė,"",DP
,Kristina Miškinienė,Q4362,LSDP
,Albinas Mitrulevičius,Q4362,LSDP
,Arvydas Mockus,Q4362,LSDP
,Alma Monkauskaitė,Q4362,LSDP
Q12649485,Audrius Nakas,Q1261824,DK
,Jaroslav Narkevič,Q1357218,LLRA
,Petras Narkevičius,"",DP
,Antanas Nesteckis,Q4362,LSDP
Q1376538,Juozas Olekas,Q4362,LSDP
,Andrius Palionis,,
,Zdzislav Palevič,Q1357218,LLRA
,Raimundas Paliukas,"",DP
Q556555,Algirdas Vaclovas Patackas,Q1261824,DK
Q356704,Artūras Paulauskas,"",DP
,Bronius Pauža,Q4362,LSDP
Q3672324,Marija Aušrinė Pavilionienė,Q4362,LSDP
,Milda Petrauskienė,Q4362,LSDP
,Darius Petrošius,Q4362,LSDP
,Domas Petrulis,Q4362,LSDP
,Audronė Pitrėnienė,"",DP
Q12670846,Raminta Popovienė,Q4362,LSDP
Q3660989,Juras Požela,Q4362,LSDP
,Giedrė Purvaneckienė,Q4362,LSDP
Q1963591,Naglis Puteikis,Q81556,TS
,Jurgis Razma,Q81556,TS
Q11714005,Irina Rozova,Q1357218,LLRA
,Rimas Antanas Ručys,Q81517,TT
,Julius Sabatauskas,Q4362,LSDP
,Algimantas Salamakinas,Q4362,LSDP
,Ričardas Sargūnas,"",DP
,Paulius Saudargas,Q81556,TS
,Vytautas Saulis,Q4362,LSDP
,Valerijus Simulik,Q4362,LSDP
Q59723,Rimantas Sinkevičius,Q4362,LSDP
Q2543218,Algirdas Sysas,Q4362,LSDP
,Valdas Skarbalius,"",DP
,Artūras Skardžius,Q4362,LSDP
,Aurelija Stancikienė,Q1261824,DK
,Kazys Starkevičius,Q81556,TS
Q1525171,Gintaras Steponavičius,Q1466907,LS
,Algis Strelčiūnas,Q81556,TS
,Valentinas Stundys,Q81556,TS
,Eduardas Šablinskas,Q4362,LSDP
Q6556452,Rimantė Šalaševičiūtė,Q4362,LSDP
,Stasys Šedbaras,Q81556,TS
Q541431,Irena Šiaulienė,Q4362,LSDP
Q1397662,Remigijus Šimašius,Q1466907,LS
,Leonard Talmont,Q1357218,LLRA
Q9310614,Rita Tamašunienė,Q1357218,LLRA
,Gintaras Tamošiūnas,"",DP
,Dalia Teišerskytė,Q1466907,LS
Q1502078,Valdemar Tomaševski,Q1357218,LLRA
,Darius Ulickas,"",DP
,Povilas Urbšys,,
,Sergej Ursul,"",DP
Q1361333,Viktor Uspaskich,"",DP
,Jolita Vaickienė,Q81517,TT
,Ona Valiukevičiūtė,Q81517,TT
,Egidijus Vareikis,Q81556,TS
,Jonas Varkala,Q1261824,DK
,Valdas Vasiliauskas,Q1261824,DK
Q541498,Neringa Venckienė,Q1261824,DK
,Julius Veselka,Q81517,TT
Q541252,Birutė Vėsaitė,Q4362,LSDP
,Arvydas Vidžiūnas,Q81556,TS
,Vitalija Vonžutaitė,"",DP
,Mečislovas Zasčiurinskas,"",DP
,Aleksandras Zeltinis,Q4362,LSDP
Q3672343,Emanuelis Zingeris,Q81556,TS
,Edvardas Žakaris,Q4362,LSDP
,Pranas Žeimys,Q81556,TS
Q59725,Remigijus Žemaitaitis,Q81517,TT
Q552497,Rokas Žilinskas,Q81556,TS
,Zita Žvikienė,"",DP
